timeframe,setup,rr,bucket,trades,wins,losses,win_rate,win_rate_pct
1d,DL,1.0,ALL,23,8,14,0.36363636363636365,"36,4%"
1d,DL,1.0,1,20,7,13,0.35,35%
1d,DL,1.0,2,1,0,1,0.0,0%
1d,DL,1.0,3,2,1,0,1.0,100%
1d,DL,1.0,4,0,0,0,,-
1d,DL,1.5,ALL,23,7,15,0.3181818181818182,"31,8%"
1d,DL,1.5,1,20,6,14,0.3,30%
1d,DL,1.5,2,1,0,1,0.0,0%
1d,DL,1.5,3,2,1,0,1.0,100%
1d,DL,1.5,4,0,0,0,,-
1d,DL,2.0,ALL,23,6,16,0.2727272727272727,"27,3%"
1d,DL,2.0,1,20,5,15,0.25,25%
1d,DL,2.0,2,1,0,1,0.0,0%
1d,DL,2.0,3,2,1,0,1.0,100%
1d,DL,2.0,4,0,0,0,,-
1d,IB,1.0,ALL,28,13,15,0.4642857142857143,"46,4%"
1d,IB,1.0,1,24,12,12,0.5,50%
1d,IB,1.0,2,1,0,1,0.0,0%
1d,IB,1.0,3,1,0,1,0.0,0%
1d,IB,1.0,4,2,1,1,0.5,50%
1d,IB,1.5,ALL,28,9,19,0.32142857142857145,"32,1%"
1d,IB,1.5,1,24,9,15,0.375,"37,5%"
1d,IB,1.5,2,1,0,1,0.0,0%
1d,IB,1.5,3,1,0,1,0.0,0%
1d,IB,1.5,4,2,0,2,0.0,0%
1d,IB,2.0,ALL,28,6,22,0.21428571428571427,"21,4%"
1d,IB,2.0,1,24,6,18,0.25,25%
1d,IB,2.0,2,1,0,1,0.0,0%
1d,IB,2.0,3,1,0,1,0.0,0%
1d,IB,2.0,4,2,0,2,0.0,0%
1d,PFR,1.0,ALL,16,8,8,0.5,50%
1d,PFR,1.0,1,15,7,8,0.4666666666666667,"46,7%"
1d,PFR,1.0,2,0,0,0,,-
1d,PFR,1.0,3,1,1,0,1.0,100%
1d,PFR,1.0,4,0,0,0,,-
1d,PFR,1.5,ALL,16,7,9,0.4375,"43,8%"
1d,PFR,1.5,1,15,6,9,0.4,40%
1d,PFR,1.5,2,0,0,0,,-
1d,PFR,1.5,3,1,1,0,1.0,100%
1d,PFR,1.5,4,0,0,0,,-
1d,PFR,2.0,ALL,16,6,10,0.375,"37,5%"
1d,PFR,2.0,1,15,5,10,0.3333333333333333,"33,3%"
1d,PFR,2.0,2,0,0,0,,-
1d,PFR,2.0,3,1,1,0,1.0,100%
1d,PFR,2.0,4,0,0,0,,-
1h,DL,1.0,ALL,713,339,371,0.47746478873239434,"47,7%"
