timeframe,setup,rr,bucket,trades,wins,losses,win_rate,win_rate_pct
1d,DL,1.0,ALL,23,8,14,0.36363636363636365,"36,4%"
1d,DL,1.0,top10,3,1,1,0.5,50%
1d,DL,1.0,low10,3,2,1,0.6666666666666666,"66,7%"
1d,DL,1.0,top15,4,1,2,0.3333333333333333,"33,3%"
1d,DL,1.0,low15,4,3,1,0.75,75%
1d,DL,1.0,top20,5,1,3,0.25,25%
1d,DL,1.0,low20,5,3,2,0.6,60%
1d,DL,1.0,top25,6,1,4,0.2,20%
1d,DL,1.0,low25,6,4,2,0.6666666666666666,"66,7%"
1d,DL,1.0,top30,7,1,5,0.16666666666666666,"16,7%"
1d,DL,1.0,low30,7,4,3,0.5714285714285714,"57,1%"
1d,DL,1.5,ALL,23,7,15,0.3181818181818182,"31,8%"
1d,DL,1.5,top10,3,1,1,0.5,50%
1d,DL,1.5,low10,3,2,1,0.6666666666666666,"66,7%"
1d,DL,1.5,top15,4,1,2,0.3333333333333333,"33,3%"
1d,DL,1.5,low15,4,3,1,0.75,75%
1d,DL,1.5,top20,5,1,3,0.25,25%
1d,DL,1.5,low20,5,3,2,0.6,60%
1d,DL,1.5,top25,6,1,4,0.2,20%
1d,DL,1.5,low25,6,4,2,0.6666666666666666,"66,7%"
1d,DL,1.5,top30,7,1,5,0.16666666666666666,"16,7%"
1d,DL,1.5,low30,7,4,3,0.5714285714285714,"57,1%"
1d,DL,2.0,ALL,23,6,16,0.2727272727272727,"27,3%"
1d,DL,2.0,top10,3,1,1,0.5,50%
1d,DL,2.0,low10,3,2,1,0.6666666666666666,"66,7%"
1d,DL,2.0,top15,4,1,2,0.3333333333333333,"33,3%"
1d,DL,2.0,low15,4,3,1,0.75,75%
1d,DL,2.0,top20,5,1,3,0.25,25%
1d,DL,2.0,low20,5,3,2,0.6,60%
1d,DL,2.0,top25,6,1,4,0.2,20%
1d,DL,2.0,low25,6,4,2,0.6666666666666666,"66,7%"
1d,DL,2.0,top30,7,1,5,0.16666666666666666,"16,7%"
1d,DL,2.0,low30,7,4,3,0.5714285714285714,"57,1%"
1d,IB,1.0,ALL,28,13,15,0.4642857142857143,"46,4%"
1d,IB,1.0,top10,3,1,2,0.3333333333333333,"33,3%"
1d,IB,1.0,low10,3,1,2,0.3333333333333333,"33,3%"
1d,IB,1.0,top15,5,1,4,0.2,20%
1d,IB,1.0,low15,5,3,2,0.6,60%
1d,IB,1.0,top20,6,2,4,0.3333333333333333,"33,3%"
1d,IB,1.0,low20,6,3,3,0.5,50%
1d,IB,1.0,top25,7,3,4,0.42857142857142855,"42,9%"
1d,IB,1.0,low25,7,3,4,0.42857142857142855,"42,9%"
1d,IB,1.0,top30,9,5,4,0.5555555555555556,"55,6%"
1d,IB,1.0,low30,9,4,5,0.4444444444444444,"44,4%"
1d,IB,1.5,ALL,28,9,19,0.32142857142857145,"32,1%"
1d,IB,1.5,top10,3,1,2,0.3333333333333333,"33,3%"
1d,IB,1.5,low10,3,1,2,0.3333333333333333,"33,3%"
1d,IB,1.5,top15,5,1,4,0.2,20%
1d,IB,1.5,low15,5,3,2,0.6,60%
1d,IB,1.5,top20,6,2,4,0.3333333333333333,"33,3%"
1d,IB,1.5,low20,6,3,3,0.5,50%
1d,IB,1.5,top25,7,2,5,0.2857142857142857,"28,6%"
1d,IB,1.5,low25,7,3,4,0.42857142857142855,"42,9%"
1d,IB,1.5,top30,9,3,6,0.3333333333333333,"33,3%"
