timeframe,ma_pair,setup,rr,trades,wins,losses,no_hit,skipped,win_rate,win_rate_pct
1d,10/100,DL,1.0,34,13,20,1,0,0.3939393939393939,"39,4%"
1d,10/100,DL,1.5,34,11,22,1,0,0.3333333333333333,"33,3%"
1d,10/100,DL,2.0,34,10,23,1,0,0.30303030303030304,"30,3%"
1d,10/100,IB,1.0,52,27,25,0,0,0.5192307692307693,"51,9%"
1d,10/100,IB,1.5,52,16,35,1,0,0.3137254901960784,"31,4%"
1d,10/100,IB,2.0,52,13,38,1,0,0.2549019607843137,"25,5%"
1d,10/100,PFR,1.0,22,10,12,0,0,0.45454545454545453,"45,5%"
1d,10/100,PFR,1.5,22,9,13,0,0,0.4090909090909091,"40,9%"
1d,10/100,PFR,2.0,22,8,14,0,0,0.36363636363636365,"36,4%"
1d,13/130,DL,1.0,35,10,24,1,0,0.29411764705882354,"29,4%"
1d,13/130,DL,1.5,35,9,25,1,0,0.2647058823529412,"26,5%"
1d,13/130,DL,2.0,35,8,26,1,0,0.23529411764705882,"23,5%"
1d,13/130,IB,1.0,47,20,27,0,0,0.425531914893617,"42,6%"
1d,13/130,IB,1.5,47,11,35,1,0,0.2391304347826087,"23,9%"
1d,13/130,IB,2.0,47,8,38,1,0,0.17391304347826086,"17,4%"
1d,13/130,PFR,1.0,21,7,14,0,0,0.3333333333333333,"33,3%"
1d,13/130,PFR,1.5,21,6,15,0,0,0.2857142857142857,"28,6%"
1d,13/130,PFR,2.0,21,5,16,0,0,0.23809523809523808,"23,8%"
1d,20/200,DL,1.0,37,13,24,0,0,0.35135135135135137,"35,1%"
1d,20/200,DL,1.5,37,9,28,0,0,0.24324324324324326,"24,3%"
1d,20/200,DL,2.0,37,8,29,0,0,0.21621621621621623,"21,6%"
1d,20/200,IB,1.0,41,15,26,0,0,0.36585365853658536,"36,6%"
1d,20/200,IB,1.5,41,8,33,0,0,0.1951219512195122,"19,5%"
1d,20/200,IB,2.0,41,7,34,0,0,0.17073170731707318,"17,1%"
1d,20/200,PFR,1.0,17,7,10,0,0,0.4117647058823529,"41,2%"
1d,20/200,PFR,1.5,17,6,11,0,0,0.35294117647058826,"35,3%"
1d,20/200,PFR,2.0,17,5,12,0,0,0.29411764705882354,"29,4%"
1d,8/80,DL,1.0,29,11,17,1,0,0.39285714285714285,"39,3%"
1d,8/80,DL,1.5,29,10,18,1,0,0.35714285714285715,"35,7%"
1d,8/80,DL,2.0,29,9,19,1,0,0.32142857142857145,"32,1%"
1d,8/80,IB,1.0,48,24,24,0,0,0.5,50%
1d,8/80,IB,1.5,48,14,33,1,0,0.2978723404255319,"29,8%"
1d,8/80,IB,2.0,48,11,36,1,0,0.23404255319148937,"23,4%"
1d,8/80,PFR,1.0,21,10,11,0,0,0.47619047619047616,"47,6%"
1d,8/80,PFR,1.5,21,9,12,0,0,0.42857142857142855,"42,9%"
1d,8/80,PFR,2.0,21,8,13,0,0,0.38095238095238093,"38,1%"
1d,9/90,DL,1.0,34,13,20,1,0,0.3939393939393939,"39,4%"
1d,9/90,DL,1.5,34,11,22,1,0,0.3333333333333333,"33,3%"
1d,9/90,DL,2.0,34,10,23,1,0,0.30303030303030304,"30,3%"
1d,9/90,IB,1.0,51,25,26,0,0,0.49019607843137253,49%
1d,9/90,IB,1.5,51,15,35,1,0,0.3,30%
1d,9/90,IB,2.0,51,12,38,1,0,0.24,24%
1d,9/90,PFR,1.0,22,10,12,0,0,0.45454545454545453,"45,5%"
1d,9/90,PFR,1.5,22,9,13,0,0,0.4090909090909091,"40,9%"
1d,9/90,PFR,2.0,22,8,14,0,0,0.36363636363636365,"36,4%"
1h,10/100,DL,1.0,944,439,503,2,0,0.46602972399150744,"46,6%"
1h,10/100,DL,1.5,944,360,574,10,0,0.3854389721627409,"38,5%"
1h,10/100,DL,2.0,944,302,628,14,0,0.3247311827956989,"32,5%"
1h,10/100,IB,1.0,1092,461,631,0,0,0.42216117216117216,"42,2%"
1h,10/100,IB,1.5,1092,376,716,0,0,0.3443223443223443,"34,4%"
1h,10/100,IB,2.0,1092,304,784,4,0,0.27941176470588236,"27,9%"
1h,10/100,PFR,1.0,521,266,253,2,0,0.51252408477842,"51,3%"
1h,10/100,PFR,1.5,521,217,296,8,0,0.42300194931773877,"42,3%"
1h,10/100,PFR,2.0,521,183,327,11,0,0.3588235294117647,"35,9%"
1h,13/130,DL,1.0,1112,515,595,2,0,0.46396396396396394,"46,4%"
1h,13/130,DL,1.5,1112,425,675,12,0,0.38636363636363635,"38,6%"
1h,13/130,DL,2.0,1112,359,735,18,0,0.3281535648994516,"32,8%"
1h,13/130,IB,1.0,1114,477,637,0,0,0.4281867145421903,"42,8%"
