timeframe,setup,slope_strength,bars_since_new_high,pullback_from_new_high_pct,dist_to_sma80_pct,atr_pct,clv,lower_wick_pct,pos_in_range_n,ret_5_pct,vol_z,rr_1.0,rr_1.5,rr_2.0
1h,PFR,40.625,44,6.900106486621199,1.75641971133645,0.8816560950213906,0.5871330418488454,42.91068082448446,0.7073193386587414,1.5984670540239998,0.8209785248121092,win,win,win
1h,8.3,56.77499999999782,2,1.3515616582667958,1.622928176795577,0.9558019606075546,0.26519129782446027,26.519129782446026,0.7096442348906981,0.43307630430720057,0.41596543441455625,win,win,win
1h,PFR,60.16250000000218,3,0.932166528996533,1.927232180591227,0.985475656288465,0.9296497584541079,61.23188405797133,0.7505339598462176,1.006143455795594,2.122072481437546,win,win,win
1h,8.2,16.200000000000728,5,1.0445970215674034,0.9982645973499901,1.0462454304379718,0.25347222222222693,25.347222222222694,0.7182207931404097,-0.15154856169188324,-0.8573940918979557,win,win,win
1h,8.3,106.78750000000218,3,0.5445087642740462,4.048515626755723,1.1268750974193664,0.9945205479452187,59.45205479451921,0.8975662913185616,3.409798150549892,-1.002716091391669,win,win,win
1h,8.3,135.2125000000051,0,0.8644565673520717,4.688748786573823,1.2181096925424735,0.24416277518345866,24.416277518345865,0.8662811282898627,0.8416926987329987,-0.30250840026065157,win,win,win
1h,8.3,87.39999999999418,2,1.9452959644746364,5.975448526330175,1.4148760312725976,0.19545454545454155,19.545454545454156,0.7797826360622708,1.7959394144629437,0.5743488847327082,win,win,win
1h,8.3,84.52500000000146,4,1.728050836467374,8.013102971846113,1.5021001857463867,0.2896652110625997,28.966521106259968,0.7458812311278287,0.6883595266743869,-1.2208086417565671,win,loss,loss
1h,PFR,58.1875,5,1.6794190118013124,7.94701960562521,1.4539621823800417,0.7356143079315728,66.56298600311067,0.7475086655112665,-0.7931199930211186,-1.4365376245809434,win,loss,loss
1h,8.3,58.1875,5,1.6794190118013124,7.94701960562521,1.4539621823800417,0.7356143079315728,66.56298600311067,0.7475086655112665,-0.7931199930211186,-1.4365376245809434,win,loss,loss
1h,8.2,81.3125,0,1.8187388199501386,4.443428793826143,1.1593888800934122,0.23059734842842164,23.059734842842165,0.6737001705729985,1.261303795169777,1.2664746920502066,loss,loss,loss
1h,8.3,81.3125,0,1.8187388199501386,4.443428793826143,1.1593888800934122,0.23059734842842164,23.059734842842165,0.6737001705729985,1.261303795169777,1.2664746920502066,loss,loss,loss
1h,PFR,20.962499999997817,2,1.185979091627866,1.7488628560475061,1.1448384474700264,0.8725749559082845,25.485008818343108,0.7113904566444335,0.3694251601734644,-0.11284304110612467,loss,loss,loss
1h,DL,52.912499999998545,3,0.8347826086956521,2.093201585595861,0.7060179385679219,0.6393854748603393,63.938547486033926,0.7139451728247914,1.0738431104225565,2.09263337967013,loss,loss,loss
1h,8.2,85.0625,2,1.686763734927204,1.4828699949359914,1.0517508478033852,0.44894228258030505,44.8942282580305,0.7333113565188716,3.0164001281715036,0.26571985989032304,loss,loss,loss
1h,8.3,85.0625,2,1.686763734927204,1.4828699949359914,1.0517508478033852,0.44894228258030505,44.8942282580305,0.7333113565188716,3.0164001281715036,0.26571985989032304,loss,loss,loss
1h,8.3,123.3125,2,0.9693115340044424,3.3076922656778995,0.8577269442926867,0.6802919708029161,39.075425790753904,0.8555977328272059,3.0465591823540805,0.0370350104552256,loss,loss,loss
1h,PFR,109.66249999999854,4,0.7658154503441683,3.4373420163583406,0.8662188468237044,0.8282442748091603,51.64122137404552,0.8859133690395709,1.2536594747451835,0.1330690735125071,loss,loss,loss
1h,8.3,24.0,2,2.0968477035422692,3.4588320893845297,1.0386769338466924,0.5495598928434708,16.87715269804771,0.4471948685518108,0.8165540993556597,-0.21427730941933998,loss,loss,loss
1h,8.3,79.125,2,0.8938317587526087,1.5605082296113502,0.8559715673164886,0.36248624862486467,36.248624862486466,0.781612133605999,1.798616559021915,-0.038132454057781824,win,win,win
1h,DL,65.17500000000291,3,1.2132815796723821,1.1671008169620978,0.8787864727906516,0.3176808816483118,31.76808816483118,0.7035616905248822,0.8125104544435491,-0.22563525475533064,win,win,loss
1h,8.2,65.17500000000291,3,1.2132815796723821,1.1671008169620978,0.8787864727906516,0.3176808816483118,31.76808816483118,0.7035616905248822,0.8125104544435491,-0.22563525475533064,win,win,win
1h,8.3,65.17500000000291,3,1.2132815796723821,1.1671008169620978,0.8787864727906516,0.3176808816483118,31.76808816483118,0.7035616905248822,0.8125104544435491,-0.22563525475533064,win,win,win
1h,DL,53.86249999999927,4,1.278496772371073,1.0292815104872761,0.8925638102505162,0.32608695652173775,32.60869565217377,0.6876278118609416,-0.1844146685472503,-0.2461980841971681,win,win,win
1h,8.3,10.512500000000728,1,1.0528615570282747,1.2351832364320803,0.7449504242589937,0.4095330739299498,40.95330739299498,0.7395556318092117,-0.09943803504841586,-1.0107853094284986,loss,loss,loss
1h,8.3,56.712500000001455,0,0.8388888888888838,1.5097894589098186,0.7378864762331597,0.1697594501718263,16.97594501718263,0.7281728172817296,1.2174418481015303,0.8739193110758937,loss,loss,loss
1h,DL,45.02499999999782,1,0.9138888888888913,1.4254242501209486,0.6926895397221409,0.7616822429906482,76.16822429906482,0.7038703870387029,1.2747714496621487,-0.9557607500185583,loss,loss,loss
1h,8.3,45.02499999999782,1,0.9138888888888913,1.4254242501209486,0.6926895397221409,0.7616822429906482,76.16822429906482,0.7038703870387029,1.2747714496621487,-0.9557607500185583,loss,loss,loss
1h,8.3,33.29999999999927,2,1.0552083333333384,1.278028198773422,0.6756563680142679,0.2570320077594514,25.703200775945138,0.6485892691951877,1.203959214549788,-1.279431084729876,loss,loss,loss
1h,DL,8.674999999995634,22,0.4902309058614565,0.1448752637787585,0.2448185471532614,0.21587301587299276,21.587301587299276,0.6231135822081002,0.3036466240797564,-0.5583926991976452,loss,loss,loss
1h,8.2,8.674999999995634,22,0.4902309058614565,0.1448752637787585,0.2448185471532614,0.21587301587299276,21.587301587299276,0.6231135822081002,0.3036466240797564,-0.5583926991976452,loss,loss,loss
1h,8.3,8.674999999995634,22,0.4902309058614565,0.1448752637787585,0.2448185471532614,0.21587301587299276,21.587301587299276,0.6231135822081002,0.3036466240797564,-0.5583926991976452,loss,loss,loss
1h,PFR,16.1875,23,0.4440497335701598,0.1963884967037991,0.23871543264942074,0.8145454545455074,34.18181818182347,0.7635955056179841,0.35810205908684,-1.4693426845921924,loss,loss,loss
1h,8.3,105.17500000000291,3,0.6563139931740589,3.554791986641406,0.6696313542955494,0.33445491251683185,33.44549125168319,0.8316112084063053,2.3920331226233493,-0.3046279727384672,win,win,win
1h,8.3,117.22499999999854,1,1.2420730086971308,6.457519390947864,1.1809334615926719,0.9353205849268839,77.67154105736734,0.8370421383377099,1.7667283072065443,-0.4292669448918529,loss,loss,loss
1h,PFR,18.750000000003638,15,0.9425451014228372,5.398675753291033,0.6316534032305374,0.9194560669455993,50.31380753138094,0.7736904293028757,0.35096582071496574,-0.6008661688005396,win,win,loss
1h,8.3,12.98750000000291,33,1.7215769671192565,1.6593359906319969,0.5977507185944291,0.140298507462654,14.0298507462654,0.4890656063618286,0.5496307900356934,-0.6738393825423562,loss,loss,loss
1h,8.3,11.475000000002183,2,0.7224591270560003,1.493761776594431,0.4925046329267367,0.09921962095872626,9.921962095872626,0.6518565534750854,0.4963300244664959,-0.302695360933678,loss,loss,loss
1h,PFR,27.549999999995634,3,0.3599124092398349,1.7771573781413579,0.48700654912980557,0.7842253521126802,16.39436619718228,0.8265629958743269,0.679421061387453,1.586290602098263,win,win,win
1h,8.3,16.712499999997817,1,1.0368817804592139,1.6049282883432472,0.5792480190999634,0.31195998180992146,31.195998180992145,0.6294049008168044,0.5426364302748787,0.5544783724434391,loss,loss,loss
1h,8.3,28.325000000000728,2,0.6878809544797169,1.872633337964604,0.5957390254027954,0.917865707434048,27.69784172661926,0.754142357059509,0.530086717428091,-0.18851680391436434,loss,loss,loss
1h,8.2,20.912500000002183,1,1.1316852480206843,1.7462380853424233,0.7285084860359085,0.26710209694053055,26.710209694053056,0.6331447726796551,1.090041599344449,0.1405384066107349,win,loss,loss
1h,8.3,65.08749999999782,4,0.8777024211462302,0.6496543414446485,0.5977246740177984,0.6407239819004459,28.23529411764772,0.8085456627540797,-0.5242187757252492,-0.4763955048578421,loss,loss,loss
1h,8.2,87.33750000000146,3,0.6167527755631106,2.628653045399145,0.76216964781113,0.019169329073482427,1.9169329073482428,0.864244298415151,0.27926130423534534,-0.7718319428389664,win,win,win
1h,PFR,44.174999999995634,4,0.5500198442664196,2.6652767109954176,0.7336317774917649,0.3994528043775331,13.953488372089321,0.8767608404816226,0.10040054159727863,-1.3466251062575212,win,win,win
1h,DL,9.775000000001455,1,0.7797032300491742,2.7610634729775345,0.681098319200337,0.6896918172157541,68.96918172157541,0.8392702624747636,-0.03524241495124203,-0.9771436035372543,win,win,win
1h,8.3,9.775000000001455,1,0.7797032300491742,2.7610634729775345,0.681098319200337,0.6896918172157541,68.96918172157541,0.8392702624747636,-0.03524241495124203,-0.9771436035372543,win,win,win
