timeframe,setup,rr_1.0,rr_1.5,rr_2.0
1h,8.3,loss,loss,loss
1h,8.2,loss,loss,loss
1h,8.3,loss,loss,loss
1h,8.3,loss,loss,loss
1h,8.3,win,win,loss
1h,8.3,win,win,win
1h,8.3,loss,loss,loss
1h,8.3,win,loss,loss
1h,PFR,loss,loss,loss
1h,8.2,win,win,win
1h,8.3,win,win,win
1h,8.2,win,win,win
1h,8.3,win,win,win
1h,PFR,win,win,win
1h,8.3,win,win,win
1h,8.2,loss,loss,loss
1h,8.3,loss,loss,loss
1h,PFR,loss,loss,loss
1h,8.3,win,win,win
1h,8.2,loss,loss,loss
1h,8.3,loss,loss,loss
1h,8.2,loss,loss,loss
1h,8.3,loss,loss,loss
1h,PFR,loss,loss,loss
1h,8.2,win,win,win
1h,PFR,win,win,win
1h,8.3,loss,loss,loss
1h,8.3,loss,loss,loss
1h,DL,loss,loss,loss
1h,8.2,loss,loss,loss
1h,8.3,loss,loss,loss
1h,DL,win,win,win
1h,8.3,win,win,win
1h,DL,win,win,win
1h,8.3,win,win,win
1h,8.2,win,win,win
1h,8.3,win,win,win
1h,8.3,win,win,win
1h,8.2,win,win,win
1h,8.3,loss,loss,loss
1h,8.3,win,win,win
1h,8.3,win,win,win
1h,8.2,loss,loss,loss
1h,8.3,loss,loss,loss
1h,PFR,loss,loss,loss
1h,8.3,win,win,win
1h,8.3,win,loss,loss
1h,DL,win,loss,loss
1h,8.2,win,loss,loss
1h,8.3,win,loss,loss
1h,8.3,win,loss,loss
1h,8.3,loss,loss,loss
1h,DL,loss,loss,loss
1h,8.3,loss,loss,loss
1h,PFR,win,win,win
1h,8.3,loss,loss,loss
1h,8.3,win,win,loss
1h,8.3,loss,loss,loss
1h,DL,loss,loss,loss
1h,8.2,loss,loss,loss
1h,8.2,win,win,loss
1h,PFR,loss,loss,loss
1h,8.3,loss,loss,loss
1h,8.3,win,win,win
1h,8.3,win,win,win
1h,8.2,win,win,win
1h,8.3,win,win,win
1h,8.3,win,win,win
1h,PFR,win,win,win
1h,8.3,win,win,win
1h,8.3,loss,loss,loss
1h,8.2,win,win,win
1h,8.3,win,win,win
1h,8.3,win,win,win
1h,8.3,loss,loss,loss
1h,PFR,loss,loss,loss
1h,8.3,loss,loss,loss
1h,PFR,loss,loss,loss
1h,8.3,loss,loss,loss
1h,DL,win,win,loss
1h,8.3,win,win,loss
1h,8.3,loss,loss,loss
1h,8.3,win,win,win
1h,PFR,win,win,win
1h,8.3,win,loss,loss
1h,8.3,win,win,win
1h,8.3,loss,loss,loss
1h,8.3,loss,loss,loss
1h,PFR,win,loss,loss
1h,DL,loss,loss,loss
1h,8.3,loss,loss,loss
1h,8.2,loss,loss,loss
1h,DL,loss,loss,loss
1h,PFR,win,loss,loss
1h,8.3,win,loss,loss
1h,8.3,loss,loss,loss
1h,PFR,win,win,win
1h,8.3,win,loss,loss
1h,PFR,loss,loss,loss
