Config,dist_sma8_max,dist_sma80_max,sma_gap_min,Train Trades,Train WR,Train AvgR
htf1_tx0_be1,0.01,0.03,0.0,210,0.3619047619047619,0.047619047619047616
htf1_tx0_be1,0.01,0.03,0.005,192,0.3645833333333333,0.0625
htf1_tx0_be1,0.01,0.03,0.01,160,0.375,0.05
htf1_tx0_be1,0.01,0.05,0.0,378,0.35978835978835977,0.015873015873015872
htf1_tx0_be1,0.01,0.05,0.005,360,0.3611111111111111,0.022222222222222223
htf1_tx0_be1,0.01,0.05,0.01,328,0.36585365853658536,0.012195121951219513
htf1_tx0_be1,0.01,0.07,0.0,462,0.329004329004329,-0.06493506493506493
htf1_tx0_be1,0.01,0.07,0.005,444,0.32882882882882886,-0.06306306306306306
htf1_tx0_be1,0.01,0.07,0.01,412,0.3300970873786408,-0.07766990291262135
htf1_tx0_be1,0.02,0.03,0.0,219,0.365296803652968,0.0547945205479452
htf1_tx0_be1,0.02,0.03,0.005,200,0.37,0.075
htf1_tx0_be1,0.02,0.03,0.01,167,0.3772455089820359,0.05688622754491018
htf1_tx0_be1,0.02,0.05,0.0,405,0.37037037037037035,0.044444444444444446
htf1_tx0_be1,0.02,0.05,0.005,386,0.37305699481865284,0.054404145077720206
htf1_tx0_be1,0.02,0.05,0.01,353,0.37677053824362605,0.043909348441926344
htf1_tx0_be1,0.02,0.07,0.0,504,0.3373015873015873,-0.037698412698412696
htf1_tx0_be1,0.02,0.07,0.005,485,0.33814432989690724,-0.032989690721649485
htf1_tx0_be1,0.02,0.07,0.01,452,0.33849557522123896,-0.04756637168141593
htf1_tx0_be1,0.03,0.03,0.0,219,0.365296803652968,0.0547945205479452
htf1_tx0_be1,0.03,0.03,0.005,200,0.37,0.075
htf1_tx0_be1,0.03,0.03,0.01,167,0.3772455089820359,0.05688622754491018
htf1_tx0_be1,0.03,0.05,0.0,408,0.36764705882352944,0.03676470588235294
htf1_tx0_be1,0.03,0.05,0.005,389,0.37017994858611825,0.04627249357326478
htf1_tx0_be1,0.03,0.05,0.01,356,0.37359550561797755,0.0351123595505618
htf1_tx0_be1,0.03,0.07,0.0,513,0.33528265107212474,-0.04483430799220273
htf1_tx0_be1,0.03,0.07,0.005,494,0.3360323886639676,-0.04048582995951417
htf1_tx0_be1,0.03,0.07,0.01,461,0.3362255965292842,-0.055314533622559656
htf1_tx1_be1,0.01,0.03,0.0,210,0.3619047619047619,0.07086347745709594
htf1_tx1_be1,0.01,0.03,0.005,192,0.3645833333333333,0.0800073549628669
htf1_tx1_be1,0.01,0.03,0.01,160,0.375,0.07100882595544027
htf1_tx1_be1,0.01,0.05,0.0,378,0.35978835978835977,0.038204112223213155
htf1_tx1_be1,0.01,0.05,0.005,360,0.3611111111111111,0.04144787863126355
htf1_tx1_be1,0.01,0.05,0.01,328,0.36585365853658536,0.03329645215626487
htf1_tx1_be1,0.01,0.07,0.0,462,0.329004329004329,-0.04666416792126715
htf1_tx1_be1,0.01,0.07,0.005,444,0.32882882882882886,-0.0474746930016782
htf1_tx1_be1,0.01,0.07,0.01,412,0.3300970873786408,-0.06087078566200273
htf1_tx1_be1,0.02,0.03,0.0,219,0.365296803652968,0.07708369984470385
htf1_tx1_be1,0.02,0.03,0.005,200,0.37,0.09180706076435222
htf1_tx1_be1,0.02,0.03,0.01,167,0.3772455089820359,0.07701444402916433
htf1_tx1_be1,0.02,0.05,0.0,405,0.37037037037037035,0.0652868010379619
htf1_tx1_be1,0.02,0.05,0.005,386,0.37305699481865284,0.07233480908615254
htf1_tx1_be1,0.02,0.05,0.01,353,0.37677053824362605,0.06351625016219513
htf1_tx1_be1,0.02,0.07,0.0,504,0.3373015873015873,-0.017445038415490617
htf1_tx1_be1,0.02,0.07,0.005,485,0.33814432989690724,-0.01507673706088036
htf1_tx1_be1,0.02,0.07,0.01,452,0.33849557522123896,-0.028345613881696846
htf1_tx1_be1,0.03,0.03,0.0,219,0.365296803652968,0.07708369984470385
htf1_tx1_be1,0.03,0.03,0.005,200,0.37,0.09180706076435222
htf1_tx1_be1,0.03,0.03,0.01,167,0.3772455089820359,0.07701444402916433
htf1_tx1_be1,0.03,0.05,0.0,408,0.36764705882352944,0.05745380985385925
htf1_tx1_be1,0.03,0.05,0.005,389,0.37017994858611825,0.06406487482584801
htf1_tx1_be1,0.03,0.05,0.01,356,0.37359550561797755,0.05455403457094067
htf1_tx1_be1,0.03,0.07,0.0,513,0.33528265107212474,-0.02493625606512139
htf1_tx1_be1,0.03,0.07,0.005,494,0.3360323886639676,-0.022899225656937194
htf1_tx1_be1,0.03,0.07,0.01,461,0.3362255965292842,-0.036469018382921846
