Config,TF,Setup,Trades,WR 1.0,AvgR 1.0,WR 1.5,AvgR 1.5,WR 2.0,AvgR 2.0
all,1d,8.3,1,100.0%,1.00,100.0%,1.50,100.0%,2.00
all,1d,PFR,1,100.0%,1.00,100.0%,1.50,100.0%,2.00
all,1h,8.2,82,50.0%,0.09,35.4%,0.12,24.4%,0.07
all,1h,8.3,166,50.0%,0.14,32.5%,0.14,23.5%,0.12
all,1h,DL,36,50.0%,0.14,33.3%,0.14,22.2%,0.08
all,1h,PFR,68,52.9%,0.18,32.4%,0.15,22.1%,0.11
all,2h,8.2,37,43.2%,-0.05,35.1%,0.04,29.7%,0.11
all,2h,8.3,102,38.2%,-0.14,27.5%,-0.11,21.6%,-0.09
all,2h,DL,21,19.0%,-0.57,14.3%,-0.55,14.3%,-0.48
all,2h,PFR,35,51.4%,0.14,40.0%,0.23,31.4%,0.26
all,4h,8.2,10,20.0%,-0.60,10.0%,-0.65,0.0%,-0.80
all,4h,8.3,16,31.2%,-0.38,25.0%,-0.31,12.5%,-0.44
all,4h,DL,6,16.7%,-0.67,16.7%,-0.58,0.0%,-0.83
all,4h,PFR,10,40.0%,-0.20,30.0%,-0.15,30.0%,0.00
atr,1d,8.2,7,14.3%,-0.71,14.3%,-0.64,14.3%,-0.57
atr,1d,8.3,9,33.3%,-0.33,33.3%,-0.17,33.3%,0.00
atr,1d,DL,3,0.0%,-1.00,0.0%,-1.00,0.0%,-1.00
atr,1d,PFR,8,50.0%,0.00,50.0%,0.25,50.0%,0.50
atr,1h,8.2,167,44.9%,-0.10,36.5%,-0.09,32.3%,-0.03
atr,1h,8.3,308,50.0%,0.00,39.6%,-0.01,34.4%,0.03
atr,1h,DL,70,50.0%,0.00,40.0%,0.00,31.4%,-0.06
atr,1h,PFR,155,49.7%,-0.01,36.1%,-0.10,29.0%,-0.13
atr,2h,8.2,64,43.8%,-0.12,37.5%,-0.06,32.8%,-0.02
atr,2h,8.3,178,44.9%,-0.10,37.1%,-0.07,32.0%,-0.04
atr,2h,DL,37,32.4%,-0.35,24.3%,-0.39,21.6%,-0.35
atr,2h,PFR,76,61.8%,0.24,52.6%,0.32,43.4%,0.30
atr,4h,8.2,44,34.1%,-0.32,31.8%,-0.20,29.5%,-0.11
atr,4h,8.3,74,43.2%,-0.14,36.5%,-0.09,32.4%,-0.03
atr,4h,DL,23,34.8%,-0.30,26.1%,-0.35,26.1%,-0.22
atr,4h,PFR,45,57.8%,0.16,48.9%,0.22,37.8%,0.13
base,1d,8.2,8,25.0%,-0.50,25.0%,-0.38,25.0%,-0.25
base,1d,8.3,9,33.3%,-0.33,33.3%,-0.17,33.3%,0.00
base,1d,DL,3,0.0%,-1.00,0.0%,-1.00,0.0%,-1.00
base,1d,PFR,8,50.0%,0.00,50.0%,0.25,50.0%,0.50
base,1h,8.2,209,42.6%,-0.15,34.9%,-0.13,31.1%,-0.07
base,1h,8.3,422,47.6%,-0.05,37.9%,-0.05,33.9%,0.02
base,1h,DL,87,43.7%,-0.13,35.6%,-0.11,28.7%,-0.14
base,1h,PFR,177,49.2%,-0.02,36.7%,-0.08,30.5%,-0.08
base,2h,8.2,81,43.2%,-0.14,37.0%,-0.07,33.3%,0.00
base,2h,8.3,244,43.0%,-0.14,34.4%,-0.14,30.3%,-0.09
base,2h,DL,47,31.9%,-0.36,25.5%,-0.36,23.4%,-0.30
base,2h,PFR,80,60.0%,0.20,51.2%,0.28,42.5%,0.28
base,4h,8.2,52,38.5%,-0.23,36.5%,-0.09,34.6%,0.04
base,4h,8.3,113,38.1%,-0.24,33.6%,-0.16,31.0%,-0.07
base,4h,DL,25,36.0%,-0.28,28.0%,-0.30,28.0%,-0.16
base,4h,PFR,50,56.0%,0.12,48.0%,0.20,38.0%,0.14
breakeven,1d,8.2,8,12.5%,-0.62,0.0%,-0.75,0.0%,-0.75
breakeven,1d,8.3,9,11.1%,-0.44,11.1%,-0.39,11.1%,-0.33
breakeven,1d,DL,3,0.0%,-0.67,0.0%,-0.67,0.0%,-0.67
breakeven,1d,PFR,8,37.5%,-0.12,37.5%,0.06,37.5%,0.25
breakeven,1h,8.2,209,39.7%,-0.13,28.2%,-0.11,22.0%,-0.09
breakeven,1h,8.3,422,42.2%,-0.05,28.4%,-0.05,22.7%,-0.02
breakeven,1h,DL,87,41.4%,-0.08,27.6%,-0.08,18.4%,-0.13
breakeven,1h,PFR,177,42.9%,-0.05,28.2%,-0.06,23.2%,-0.02
breakeven,2h,8.2,81,40.7%,-0.12,29.6%,-0.09,24.7%,-0.04
breakeven,2h,8.3,244,36.9%,-0.15,23.4%,-0.17,18.4%,-0.15
breakeven,2h,DL,47,25.5%,-0.36,14.9%,-0.39,12.8%,-0.36
breakeven,2h,PFR,80,50.0%,0.14,36.2%,0.17,28.7%,0.20
breakeven,4h,8.2,52,32.7%,-0.27,30.8%,-0.13,25.0%,-0.10
breakeven,4h,8.3,113,36.3%,-0.20,30.1%,-0.12,23.9%,-0.09
breakeven,4h,DL,25,36.0%,-0.28,28.0%,-0.22,16.0%,-0.32
breakeven,4h,PFR,50,52.0%,0.08,44.0%,0.22,30.0%,0.16
