TF,Setup,RR,Feature,Bucket,Trades,WinRate,Thr_Lo,Thr_Hi
1d,8.3,1.0,ALL,ALL,27,0.4074074074074074,,
1d,8.3,1.0,bars_since_new_high,Low25,10,0.3,,2.0
1h,8.2,1.0,ALL,ALL,255,0.4196078431372549,,
1h,8.2,1.0,slope_strength,Low25,64,0.375,,43.43124999999782
1h,8.2,1.0,slope_strength,High25,64,0.453125,161.75,
1h,8.2,1.0,bars_since_new_high,Low25,99,0.42424242424242425,,1.0
1h,8.2,1.0,bars_since_new_high,High25,91,0.43956043956043955,3.0,
1h,8.2,1.0,pullback_from_new_high_pct,Low25,64,0.34375,,0.6131431716772447
1h,8.2,1.0,pullback_from_new_high_pct,High25,64,0.4375,1.2172610966487074,
1h,8.2,1.0,dist_to_sma80_pct,Low25,64,0.5,,1.0396525340779397
1h,8.2,1.0,dist_to_sma80_pct,High25,64,0.390625,2.9602873718145912,
1h,8.2,1.0,atr_pct,Low25,64,0.453125,,0.4895773427549239
1h,8.2,1.0,atr_pct,High25,64,0.453125,0.827734675359336,
1h,8.2,1.0,clv,Low25,64,0.4375,,0.11483441893121822
1h,8.2,1.0,clv,High25,64,0.453125,0.38470531784223794,
1h,8.2,1.0,lower_wick_pct,Low25,64,0.4375,,11.483441893121823
1h,8.2,1.0,lower_wick_pct,High25,64,0.453125,38.470531784223795,
1h,8.2,1.0,pos_in_range_n,Low25,64,0.421875,,0.6714921411706514
1h,8.2,1.0,pos_in_range_n,High25,64,0.34375,0.8020509756123595,
1h,8.2,1.0,ret_5_pct,Low25,64,0.375,,0.2025416003253122
1h,8.2,1.0,ret_5_pct,High25,64,0.46875,1.0338139061906726,
1h,8.2,1.0,vol_z,Low25,64,0.34375,,-0.651310380682443
1h,8.2,1.0,vol_z,High25,64,0.46875,0.27810216672224997,
1h,8.3,1.0,ALL,ALL,558,0.48566308243727596,,
1h,8.3,1.0,slope_strength,Low25,140,0.5214285714285715,,39.784374999995634
1h,8.3,1.0,slope_strength,High25,140,0.4714285714285714,155.51874999999563,
1h,8.3,1.0,bars_since_new_high,Low25,175,0.4857142857142857,,1.0
1h,8.3,1.0,bars_since_new_high,High25,145,0.5448275862068965,4.0,
1h,8.3,1.0,pullback_from_new_high_pct,Low25,140,0.4857142857142857,,0.5035268468909435
1h,8.3,1.0,pullback_from_new_high_pct,High25,140,0.4714285714285714,1.015658729609905,
1h,8.3,1.0,dist_to_sma80_pct,Low25,140,0.5642857142857143,,1.154483330629184
1h,8.3,1.0,dist_to_sma80_pct,High25,140,0.4928571428571429,3.383003366473048,
1h,8.3,1.0,atr_pct,Low25,140,0.5642857142857143,,0.4844325630666356
1h,8.3,1.0,atr_pct,High25,140,0.4785714285714286,0.8297384171489731,
1h,8.3,1.0,clv,Low25,140,0.42142857142857143,,0.256480163549365
1h,8.3,1.0,clv,High25,140,0.5285714285714286,0.7017553813739128,
1h,8.3,1.0,lower_wick_pct,Low25,140,0.45,,17.367713875608587
1h,8.3,1.0,lower_wick_pct,High25,140,0.4928571428571429,50.914238413723304,
1h,8.3,1.0,pos_in_range_n,Low25,140,0.4642857142857143,,0.696796931525993
1h,8.3,1.0,pos_in_range_n,High25,140,0.44285714285714284,0.8459992728646426,
1h,8.3,1.0,ret_5_pct,Low25,140,0.45714285714285713,,0.2204311985697649
1h,8.3,1.0,ret_5_pct,High25,140,0.4642857142857143,1.054702188482387,
1h,8.3,1.0,vol_z,Low25,140,0.42857142857142855,,-0.7045986622282183
1h,8.3,1.0,vol_z,High25,140,0.5642857142857143,0.1678567937454372,
1h,DL,1.0,ALL,ALL,166,0.4578313253012048,,
