timeframe,setup,side,rr,feature_a,feature_b,bin_a,bin_b,bin_a_lo,bin_a_hi,bin_b_lo,bin_b_hi,trades,wins,losses,win_rate,win_rate_pct
1h,DL,long,1.0,ret_1_pct,pos_in_range_n,3,3,0.281862983318959,1.6462762798432171,0.8591496581665751,0.996511669723452,35,25,10,0.7142857142857143,"71,4%"
1h,DL,short,1.0,dist_to_sma80_pct,pullback_from_new_high_pct,3,0,-0.804076337863535,-0.0734071570672302,0.3738653836615202,2.2236503350682373,35,25,10,0.7142857142857143,"71,4%"
1h,DL,short,1.0,ma_gap_pct,pullback_from_new_high_pct,3,0,-0.5321201322437079,-0.0478647914265364,0.3738653836615202,2.2236503350682373,31,22,9,0.7096774193548387,71%
1h,DL,short,1.0,pos_in_range_n,pullback_from_new_high_pct,3,0,0.3314681143449194,0.8084440540243762,0.3738653836615202,2.2236503350682373,30,21,9,0.7,70%
1h,DL,long,1.0,context_pullback_pct,vol_z,0,3,0.0080911007900893,0.4339903590212158,0.4200231802510092,4.110872505686091,33,23,10,0.696969696969697,"69,7%"
1h,DL,long,1.0,ret_5_pct,dist_to_low_n_pct,3,3,0.7057238729542004,3.318692494058162,3.0587234980051403,9.768320139443675,33,23,10,0.696969696969697,"69,7%"
1h,DL,long,1.0,vol_z,pullback_from_new_high_pct,3,0,0.4200231802510092,4.110872505686091,0.0080911007900893,0.4339903590212158,33,23,10,0.696969696969697,"69,7%"
1h,DL,long,1.0,body_pct,pos_in_range_n,3,3,50.887127217817486,92.41231209734994,0.8591496581665751,0.996511669723452,32,22,10,0.6875,"68,8%"
1h,DL,short,1.0,atr_pct,pullback_from_new_high_pct,0,0,0.140029129024376,0.506968722538268,0.3738653836615202,2.2236503350682373,35,24,11,0.6857142857142857,"68,6%"
2h,DL,long,1.0,context_after_extreme_flag,dist_to_low_n_pct,1,1,,,2.1958720027923304,3.1813960842938274,35,24,11,0.6857142857142857,"68,6%"
1h,DL,short,1.0,context_after_extreme_flag,bars_since_new_high,1,2,,,24.0,41.25,53,36,17,0.6792452830188679,"67,9%"
1h,DL,long,1.0,dist_to_high_n_pct,vol_z,0,3,0.0080917555021827,0.3823053356372409,0.4200231802510092,4.110872505686091,31,21,10,0.6774193548387096,"67,7%"
1h,DL,long,1.0,context_bars_since_extreme,pos_in_range_n,0,3,0.0,2.0,0.8591496581665751,0.996511669723452,34,23,11,0.6764705882352942,"67,6%"
1h,DL,long,1.0,pos_in_range_n,bars_since_new_high,3,0,0.8591496581665751,0.996511669723452,0.0,2.0,34,23,11,0.6764705882352942,"67,6%"
1h,DL,long,1.0,range_pct,ret_5_pct,3,3,0.8723653617850871,2.868002138204094,0.7057238729542004,3.318692494058162,37,25,12,0.6756756756756757,"67,6%"
1h,DL,long,1.0,context_bars_since_extreme,ret_5_pct,0,3,0.0,2.0,0.7057238729542004,3.318692494058162,49,33,16,0.673469387755102,"67,3%"
1h,DL,long,1.0,ret_5_pct,bars_since_new_high,3,0,0.7057238729542004,3.318692494058162,0.0,2.0,49,33,16,0.673469387755102,"67,3%"
1h,DL,short,1.0,context_pullback_pct,context_after_extreme_flag,2,1,0.8587747163105898,1.3814030898387806,,,61,41,20,0.6721311475409836,"67,2%"
1h,DL,short,1.0,context_pullback_pct,pullback_from_new_low_pct,2,2,0.8587747163105898,1.3814030898387806,0.8587747163105898,1.3814030898387806,61,41,20,0.6721311475409836,"67,2%"
1h,DL,short,1.0,context_after_extreme_flag,pullback_from_new_low_pct,1,2,,,0.8587747163105898,1.3814030898387806,61,41,20,0.6721311475409836,"67,2%"
1h,DL,long,1.0,context_pullback_pct,ret_1_pct,0,3,0.0080911007900893,0.4339903590212158,0.281862983318959,1.6462762798432171,33,22,11,0.6666666666666666,"66,7%"
