timeframe,setup,side,rr,feature,bucket,trades,wins,losses,win_rate,win_rate_pct,thr_lo,thr_hi
1h,DL,long,1.0,slope_strength,ALL,293,145,148,0.4948805460750853,"49,5%",,
1h,DL,long,1.0,slope_strength,low10,30,18,12,0.6,60%,,16.729999999997382
1h,DL,long,1.0,slope_strength,high10,30,18,12,0.6,60%,205.20999999999623,
1h,DL,long,1.0,slope_strength,low15,44,25,19,0.5681818181818182,"56,8%",,23.702500000000867
1h,DL,long,1.0,slope_strength,high15,44,26,18,0.5909090909090909,"59,1%",178.05500000000464,
1h,DL,long,1.0,slope_strength,low20,59,35,24,0.5932203389830508,"59,3%",,31.722500000000583
1h,DL,long,1.0,slope_strength,high20,59,31,28,0.5254237288135594,"52,5%",152.8874999999942,
1h,DL,long,1.0,slope_strength,low25,74,40,34,0.5405405405405406,"54,1%",,36.97500000000582
1h,DL,long,1.0,slope_strength,high25,74,38,36,0.5135135135135135,"51,4%",125.26249999999708,
1h,DL,long,1.0,slope_strength,low30,88,47,41,0.5340909090909091,"53,4%",,47.8300000000032
1h,DL,long,1.0,slope_strength,high30,88,45,43,0.5113636363636364,"51,1%",113.3024999999965,
1h,DL,long,1.0,slope_strength,low40,117,57,60,0.48717948717948717,"48,7%",,60.2375
1h,DL,long,1.0,slope_strength,high40,117,59,58,0.5042735042735043,"50,4%",92.0800000000061,
1h,DL,long,1.0,slope_strength,low50,147,71,76,0.48299319727891155,"48,3%",,74.625
1h,DL,long,1.0,slope_strength,high50,147,75,72,0.5102040816326531,51%,74.625,
1h,DL,long,1.0,slope_strength,low60,176,86,90,0.48863636363636365,"48,9%",,92.0800000000061
1h,DL,long,1.0,slope_strength,high60,176,88,88,0.5,50%,60.2375,
1h,DL,long,1.0,context_bars_since_extreme,ALL,293,145,148,0.4948805460750853,"49,5%",,
1h,DL,long,1.0,context_bars_since_extreme,low10,62,34,28,0.5483870967741935,"54,8%",,1.0
1h,DL,long,1.0,context_bars_since_extreme,high10,31,19,12,0.6129032258064516,"61,3%",27.0,
1h,DL,long,1.0,context_bars_since_extreme,low15,62,34,28,0.5483870967741935,"54,8%",,1.0
1h,DL,long,1.0,context_bars_since_extreme,high15,44,27,17,0.6136363636363636,"61,4%",20.19999999999999,
1h,DL,long,1.0,context_bars_since_extreme,low20,62,34,28,0.5483870967741935,"54,8%",,1.0
1h,DL,long,1.0,context_bars_since_extreme,high20,61,33,28,0.5409836065573771,"54,1%",16.0,
1h,DL,long,1.0,context_bars_since_extreme,low25,118,59,59,0.5,50%,,2.0
1h,DL,long,1.0,context_bars_since_extreme,high25,74,36,38,0.4864864864864865,"48,6%",11.0,
1h,DL,long,1.0,context_bars_since_extreme,low30,118,59,59,0.5,50%,,2.0
1h,DL,long,1.0,context_bars_since_extreme,high30,89,45,44,0.5056179775280899,"50,6%",6.0,
1h,DL,long,1.0,context_bars_since_extreme,low40,118,59,59,0.5,50%,,2.0
1h,DL,long,1.0,context_bars_since_extreme,high40,131,62,69,0.4732824427480916,"47,3%",4.0,
1h,DL,long,1.0,context_bars_since_extreme,low50,162,83,79,0.5123456790123457,"51,2%",,3.0
1h,DL,long,1.0,context_bars_since_extreme,high50,175,86,89,0.49142857142857144,"49,1%",3.0,
1h,DL,long,1.0,context_bars_since_extreme,low60,189,93,96,0.49206349206349204,"49,2%",,4.0
1h,DL,long,1.0,context_bars_since_extreme,high60,231,111,120,0.4805194805194805,"48,1%",2.0,
1h,DL,long,1.0,context_pullback_pct,ALL,293,145,148,0.4948805460750853,"49,5%",,
1h,DL,long,1.0,context_pullback_pct,low10,30,16,14,0.5333333333333333,"53,3%",,0.23705681495607767
1h,DL,long,1.0,context_pullback_pct,high10,30,14,16,0.4666666666666667,"46,7%",1.6344197930666184,
1h,DL,long,1.0,context_pullback_pct,low15,44,24,20,0.5454545454545454,"54,5%",,0.2907905723257424
1h,DL,long,1.0,context_pullback_pct,high15,44,20,24,0.45454545454545453,"45,5%",1.3277604320359822,
1h,DL,long,1.0,context_pullback_pct,low20,59,33,26,0.559322033898305,"55,9%",,0.3747713057099289
1h,DL,long,1.0,context_pullback_pct,high20,59,25,34,0.423728813559322,"42,4%",1.1922558558083851,
1h,DL,long,1.0,context_pullback_pct,low25,74,44,30,0.5945945945945946,"59,5%",,0.4339903590212158
1h,DL,long,1.0,context_pullback_pct,high25,74,35,39,0.47297297297297297,"47,3%",1.0159192189227837,
1h,DL,long,1.0,context_pullback_pct,low30,88,49,39,0.5568181818181818,"55,7%",,0.48670415237183184
1h,DL,long,1.0,context_pullback_pct,high30,88,40,48,0.45454545454545453,"45,5%",0.922589028932393,
1h,DL,long,1.0,context_pullback_pct,low40,117,61,56,0.5213675213675214,"52,1%",,0.5970096087839525
