scenario,config,timeframe,setup,armed_ts,ladder_touch_ts,signal_ts,fill_ts,entry,stop,risk,ladder_touch_ma,ladder_stop_ma,use_time_exit,use_breakeven,req_close_gt10,hit_1,exit_type_1,R_1,exit_ts_1,hit_1.5,exit_type_1.5,R_1.5,exit_ts_1.5,hit_2,exit_type_2,R_2,exit_ts_2,hit_3,exit_type_3,R_3,exit_ts_3
CLASSICS_PFR,tx0_be0_c100,4h,DL,,,2020-07-09 08:00:00+00:00,2020-07-09 12:00:00+00:00,9413.52581,9341.97419,71.55161999999837,,,False,False,False,False,stop,-1.0,2020-07-09 12:00:00+00:00,False,stop,-1.0,2020-07-09 12:00:00+00:00,False,stop,-1.0,2020-07-09 12:00:00+00:00,False,stop,-1.0,2020-07-09 12:00:00+00:00
CLASSICS_PFR,tx0_be0_c100,4h,8.3,,,2020-07-23 04:00:00+00:00,2020-07-23 08:00:00+00:00,9516.02581,9455.97419,60.051619999998366,,,False,False,False,False,stop,-1.0,2020-07-23 12:00:00+00:00,False,stop,-1.0,2020-07-23 12:00:00+00:00,False,stop,-1.0,2020-07-23 12:00:00+00:00,False,stop,-1.0,2020-07-23 12:00:00+00:00
CLASSICS_PFR,tx0_be0_c100,4h,PFR,,,2020-07-23 12:00:00+00:00,2020-07-23 16:00:00+00:00,9589.52581,9432.97419,156.55161999999837,,,False,False,False,True,target,1.0,2020-07-26 08:00:00+00:00,True,target,1.5,2020-07-26 08:00:00+00:00,True,target,2.0,2020-07-26 08:00:00+00:00,True,target,3.0,2020-07-26 08:00:00+00:00
CLASSICS_PFR,tx0_be0_c100,4h,8.2,,,2020-07-24 04:00:00+00:00,2020-07-24 16:00:00+00:00,9569.02581,9457.47419,111.55161999999837,,,False,False,False,True,target,1.0,2020-07-25 16:00:00+00:00,True,target,1.5,2020-07-26 08:00:00+00:00,True,target,2.0,2020-07-26 08:00:00+00:00,True,target,3.0,2020-07-26 08:00:00+00:00
CLASSICS_PFR,tx0_be0_c100,4h,8.3,,,2020-07-26 16:00:00+00:00,2020-07-27 00:00:00+00:00,9948.02581,9835.47419,112.55161999999837,,,False,False,False,True,target,1.0,2020-07-27 00:00:00+00:00,True,target,1.5,2020-07-27 00:00:00+00:00,True,target,2.0,2020-07-27 00:00:00+00:00,True,target,3.0,2020-07-27 00:00:00+00:00
CLASSICS_PFR,tx0_be0_c100,4h,8.3,,,2020-07-26 20:00:00+00:00,2020-07-27 00:00:00+00:00,9948.02581,9835.47419,112.55161999999837,,,False,False,False,True,target,1.0,2020-07-27 00:00:00+00:00,True,target,1.5,2020-07-27 00:00:00+00:00,True,target,2.0,2020-07-27 00:00:00+00:00,True,target,3.0,2020-07-27 00:00:00+00:00
CLASSICS_PFR,tx0_be0_c100,4h,8.3,,,2020-07-27 08:00:00+00:00,2020-07-27 12:00:00+00:00,10333.52581,10110.97419,222.55161999999837,,,False,False,False,True,target,1.0,2020-07-27 16:00:00+00:00,True,target,1.5,2020-07-27 16:00:00+00:00,True,target,2.0,2020-07-27 16:00:00+00:00,True,target,3.0,2020-07-27 20:00:00+00:00
CLASSICS_PFR,tx0_be0_c100,4h,8.3,,,2020-07-28 04:00:00+00:00,2020-07-28 12:00:00+00:00,11029.52581,10559.47419,470.05161999999837,,,False,False,False,True,target,1.0,2020-08-01 04:00:00+00:00,True,target,1.5,2020-08-01 04:00:00+00:00,True,target,2.0,2020-08-02 00:00:00+00:00,False,timeout_loss,-1.0,2020-08-05 16:00:00+00:00
CLASSICS_PFR,tx0_be0_c100,4h,PFR,,,2020-07-28 08:00:00+00:00,2020-07-28 12:00:00+00:00,11029.52581,10559.47419,470.05161999999837,,,False,False,False,True,target,1.0,2020-08-01 04:00:00+00:00,True,target,1.5,2020-08-01 04:00:00+00:00,True,target,2.0,2020-08-02 00:00:00+00:00,False,timeout_loss,-1.0,2020-08-05 16:00:00+00:00
CLASSICS_PFR,tx0_be0_c100,4h,8.3,,,2020-07-28 20:00:00+00:00,2020-07-29 04:00:00+00:00,11008.02581,10825.47419,182.55161999999837,,,False,False,False,True,target,1.0,2020-07-29 12:00:00+00:00,True,target,1.5,2020-07-29 12:00:00+00:00,True,target,2.0,2020-07-31 16:00:00+00:00,True,target,3.0,2020-08-01 04:00:00+00:00
CLASSICS_PFR,tx0_be0_c100,4h,PFR,,,2020-07-29 00:00:00+00:00,2020-07-29 04:00:00+00:00,11008.02581,10825.47419,182.55161999999837,,,False,False,False,True,target,1.0,2020-07-29 12:00:00+00:00,True,target,1.5,2020-07-29 12:00:00+00:00,True,target,2.0,2020-07-31 16:00:00+00:00,True,target,3.0,2020-08-01 04:00:00+00:00
CLASSICS_PFR,tx0_be0_c100,4h,8.3,,,2020-07-29 00:00:00+00:00,2020-07-29 04:00:00+00:00,11008.02581,10825.47419,182.55161999999837,,,False,False,False,True,target,1.0,2020-07-29 12:00:00+00:00,True,target,1.5,2020-07-29 12:00:00+00:00,True,target,2.0,2020-07-31 16:00:00+00:00,True,target,3.0,2020-08-01 04:00:00+00:00
CLASSICS_PFR,tx0_be0_c100,4h,8.2,,,2020-07-30 00:00:00+00:00,2020-07-30 12:00:00+00:00,11020.52581,10887.97419,132.55161999999837,,,False,False,False,False,stop,-1.0,2020-07-30 12:00:00+00:00,False,stop,-1.0,2020-07-30 12:00:00+00:00,False,stop,-1.0,2020-07-30 12:00:00+00:00,False,stop,-1.0,2020-07-30 12:00:00+00:00
CLASSICS_PFR,tx0_be0_c100,4h,PFR,,,2020-07-30 12:00:00+00:00,2020-07-30 16:00:00+00:00,11054.02581,10825.47419,228.55161999999837,,,False,False,False,True,target,1.0,2020-07-31 12:00:00+00:00,True,target,1.5,2020-07-31 16:00:00+00:00,True,target,2.0,2020-08-01 04:00:00+00:00,True,target,3.0,2020-08-01 04:00:00+00:00
CLASSICS_PFR,tx0_be0_c100,4h,8.3,,,2020-07-31 20:00:00+00:00,2020-08-01 04:00:00+00:00,11415.52581,11213.47419,202.05161999999837,,,False,False,False,True,target,1.0,2020-08-01 04:00:00+00:00,True,target,1.5,2020-08-01 04:00:00+00:00,True,target,2.0,2020-08-01 16:00:00+00:00,False,stop,-1.0,2020-08-02 04:00:00+00:00
CLASSICS_PFR,tx0_be0_c100,4h,PFR,,,2020-08-01 00:00:00+00:00,2020-08-01 04:00:00+00:00,11415.52581,11213.47419,202.05161999999837,,,False,False,False,True,target,1.0,2020-08-01 04:00:00+00:00,True,target,1.5,2020-08-01 04:00:00+00:00,True,target,2.0,2020-08-01 16:00:00+00:00,False,stop,-1.0,2020-08-02 04:00:00+00:00
